# kind nAtoms frames pass rep compute_ms
cubic 4096 8 1 5 21.993
cubic 4096 8 1 6 21.865
cubic 4096 8 1 7 21.994
cubic 4096 8 1 8 20.848
cubic 4096 8 1 9 12.044
cubic 4096 8 1 10 12.025
cubic 4096 8 1 11 12.097
cubic 4096 8 1 12 12.017
cubic 4096 8 1 13 12.175
cubic 4096 8 1 14 12.204
cubic 4096 8 1 15 12.270
cubic 4096 8 1 16 12.077
cubic 4096 8 1 17 12.013
cubic 4096 8 1 18 12.102
cubic 4096 8 1 19 12.223
cubic 4096 8 1 20 12.204
cubic 4096 11 1 0 27.290
cubic 4096 11 1 1 27.295
cubic 4096 11 1 2 27.395
cubic 4096 11 1 3 27.391
cubic 4096 11 1 4 22.974
cubic 4096 11 1 5 18.106
cubic 4096 11 1 6 18.169
cubic 4096 11 1 7 18.185
cubic 4096 11 1 8 18.159
cubic 4096 11 1 9 18.113
cubic 4096 11 1 10 18.105
cubic 4096 11 1 11 18.163
cubic 4096 11 1 12 18.061
cubic 4096 11 1 13 18.098
cubic 4096 11 1 14 18.084
cubic 4096 11 1 15 16.257
cubic 4096 11 1 16 15.019
cubic 4096 11 1 17 15.095
cubic 4096 11 1 18 15.081
cubic 4096 11 1 19 15.068
cubic 4096 11 1 20 15.055
synth 1000 1 2 0 4.599
synth 1000 1 2 1 4.578
synth 1000 1 2 2 4.585
synth 1000 1 2 3 4.575
synth 1000 1 2 4 4.580
synth 1000 1 2 5 4.568
synth 1000 1 2 6 4.572
synth 1000 1 2 7 4.557
synth 1000 1 2 8 4.616
synth 1000 1 2 9 4.565
synth 1000 1 2 10 4.584
synth 1000 1 2 11 4.568
synth 1000 1 2 12 4.609
synth 1000 1 2 13 4.566
synth 1000 1 2 14 4.586
synth 1000 1 2 15 4.583
synth 1000 1 2 16 4.579
synth 1000 1 2 17 4.569
synth 1000 1 2 18 4.567
synth 1000 1 2 19 4.576
synth 1000 1 2 20 4.575
synth 2000 1 2 0 6.912
synth 2000 1 2 1 6.943
synth 2000 1 2 2 6.869
synth 2000 1 2 3 6.923
synth 2000 1 2 4 6.902
synth 2000 1 2 5 6.910
synth 2000 1 2 6 6.937
synth 2000 1 2 7 6.917
synth 2000 1 2 8 6.925
synth 2000 1 2 9 6.944
synth 2000 1 2 10 6.920
synth 2000 1 2 11 6.900
synth 2000 1 2 12 6.922
synth 2000 1 2 13 6.939
synth 2000 1 2 14 6.909
synth 2000 1 2 15 6.955
synth 2000 1 2 16 6.919
synth 2000 1 2 17 6.950
synth 2000 1 2 18 4.983
synth 2000 1 2 19 4.506
synth 2000 1 2 20 4.475
synth 4000 1 2 0 7.023
synth 4000 1 2 1 7.015
synth 4000 1 2 2 7.013
synth 4000 1 2 3 7.025
synth 4000 1 2 4 7.032
synth 4000 1 2 5 7.016
synth 4000 1 2 6 7.016
synth 4000 1 2 7 7.018
synth 4000 1 2 8 7.011
synth 4000 1 2 9 7.021
synth 4000 1 2 10 7.020
synth 4000 1 2 11 7.029
synth 4000 1 2 12 7.016
synth 4000 1 2 13 7.021
synth 4000 1 2 14 7.026
synth 4000 1 2 15 7.010
synth 4000 1 2 16 7.015
synth 4000 1 2 17 7.030
synth 4000 1 2 18 7.028
synth 4000 1 2 19 7.020
synth 4000 1 2 20 7.026
synth 8000 1 2 0 8.770
synth 8000 1 2 1 8.775
synth 8000 1 2 2 8.759
synth 8000 1 2 3 8.747
synth 8000 1 2 4 8.754
synth 8000 1 2 5 8.752
synth 8000 1 2 6 8.762
synth 8000 1 2 7 8.761
synth 8000 1 2 8 8.751
synth 8000 1 2 9 8.757
synth 8000 1 2 10 8.760
synth 8000 1 2 11 8.755
synth 8000 1 2 12 8.743
synth 8000 1 2 13 8.755
synth 8000 1 2 14 5.890
synth 8000 1 2 15 5.884
synth 8000 1 2 16 5.889
synth 8000 1 2 17 5.877
synth 8000 1 2 18 5.882
synth 8000 1 2 19 5.884
synth 8000 1 2 20 5.880
synth 16000 1 2 0 16.688
synth 16000 1 2 1 16.894
synth 16000 1 2 2 17.032
synth 16000 1 2 3 17.018
synth 16000 1 2 4 16.885
synth 16000 1 2 5 17.019
synth 16000 1 2 6 17.011
synth 16000 1 2 7 17.165
synth 16000 1 2 8 16.961
synth 16000 1 2 9 17.105
synth 16000 1 2 10 17.055
synth 16000 1 2 11 16.888
synth 16000 1 2 12 16.514
synth 16000 1 2 13 9.271
synth 16000 1 2 14 9.492
synth 16000 1 2 15 9.168
synth 16000 1 2 16 9.278
synth 16000 1 2 17 9.357
synth 16000 1 2 18 9.465
synth 16000 1 2 19 9.204
synth 16000 1 2 20 9.363
synth 32000 1 2 0 32.260
synth 32000 1 2 1 32.144
synth 32000 1 2 2 32.089
synth 32000 1 2 3 32.291
synth 32000 1 2 4 32.271
synth 32000 1 2 5 32.195
synth 32000 1 2 6 30.583
synth 32000 1 2 7 17.645
synth 32000 1 2 8 17.675
synth 32000 1 2 9 17.686
synth 32000 1 2 10 17.606
synth 32000 1 2 11 17.792
synth 32000 1 2 12 17.665
synth 32000 1 2 13 17.702
synth 32000 1 2 14 17.793
synth 32000 1 2 15 17.664
synth 32000 1 2 16 17.860
synth 32000 1 2 17 17.771
synth 32000 1 2 18 17.637
synth 32000 1 2 19 17.739
synth 32000 1 2 20 17.856
cubic 4096 1 2 0 8.361
cubic 4096 1 2 1 8.358
